Department Name,Date,Number of Sales
Computer & Tablets,2023-07-30,2455
Pet Supplies,2023-04-13,2659
Clothing,2023-01-15,2479
Shoes,2023-08-17,691
Beauty & Personal Care,2023-07-18,588
Sports,2023-04-15,1144
Garden & Outdoor,2023-10-18,337
Automotive,2023-08-12,1977
Cell Phones,2023-06-27,208
Electronics,2023-05-07,75
Travel,2023-07-27,2072
Clothing,2023-10-27,1355
Luggage,2023-05-05,793
Shoes,2023-08-08,1645
Video Games,2023-12-20,3426
Jewelry,2023-12-08,3047
Video Games,2023-08-01,323
Electronics,2023-11-24,3198
Home & Garden,2023-04-24,4714
Art & Crafts,2023-02-22,785
Shoes,2023-01-04,3012
Toys,2023-03-09,868
Watches,2023-02-11,4686
Pharmacy,2023-12-12,954
Tools & Hardware,2023-07-31,3705
Industrial & Scientific,2023-11-09,3952
Office Supplies,2023-07-09,4892
Jewelry,2023-06-03,4559
Travel,2023-02-04,1582
Pharmacy,2023-12-02,3227
Pharmacy,2023-10-11,2164
Software,2023-12-12,3035
Jewelry,2023-11-19,2299
Automotive,2023-06-22,2750
Luggage,2023-02-12,2664
Health & Beauty,2023-04-10,2440
Industrial & Scientific,2023-11-20,4107
Travel,2023-05-16,3822
Office Supplies,2023-11-28,1968
Toys,2023-03-22,4121
Toys,2023-04-08,1459
Home & Garden,2023-07-07,2059
Shoes,2023-02-12,1011
Books,2023-02-19,3087
Art & Crafts,2023-08-06,4888
Beauty & Personal Care,2023-05-07,2371
Pet Supplies,2023-10-11,569
Jewelry,2023-07-31,128
Beauty & Personal Care,2023-06-16,1564
Jewelry,2023-03-31,2643
Clothing,2023-09-27,4299
Pharmacy,2023-05-11,1482
Toys,2023-03-19,583
Clothing,2023-10-28,856
Food & Beverage,2023-03-17,4735
Travel,2023-03-23,2490
Books,2023-03-25,4909
Home & Garden,2023-04-12,4205
Home & Garden,2023-12-29,2773
Shoes,2023-05-31,4544
Music,2023-01-11,2150
Automotive,2023-09-18,986
Toys,2023-08-10,3792
Furniture,2023-07-24,1252
Sports,2023-08-14,2770
Furniture,2023-12-10,465
Jewelry,2023-02-28,3000
Automotive,2023-07-08,2977
Pharmacy,2023-07-14,4210
Baby & Kids,2023-01-08,3638
Software,2023-06-24,288
Video Games,2023-03-29,2336
Beauty & Personal Care,2023-08-09,799
Food & Beverage,2023-03-22,1279
Industrial & Scientific,2023-04-27,864
Industrial & Scientific,2023-07-12,4207
Office Supplies,2023-12-31,3444
Software,2023-10-05,2004
Beauty & Personal Care,2023-07-22,1869
Shoes,2023-03-14,1480
Pharmacy,2023-06-25,2220
Jewelry,2023-11-03,1532
Art & Crafts,2023-04-29,3576
Pet Supplies,2023-09-06,2766
Appliances,2023-01-17,2242
Books,2023-01-28,1444
Cell Phones,2023-12-31,2216
Industrial & Scientific,2023-07-15,2694
Clothing,2023-04-02,4714
Pet Supplies,2023-12-14,4795
Books,2023-11-19,4641
Garden & Outdoor,2023-05-31,2292
Food & Beverage,2023-06-19,400
Beauty & Personal Care,2023-07-15,1390
Travel,2023-01-09,989
Travel,2023-05-11,3496
Cell Phones,2023-01-17,3712
Shoes,2023-06-14,2673
Pharmacy,2023-05-30,2812
Electronics,2023-09-19,3238
Office Supplies,2023-07-15,1187
Jewelry,2023-07-26,3917
Appliances,2023-08-01,1047
Beauty & Personal Care,2023-01-13,4134
Food & Beverage,2023-01-23,2698
Office Supplies,2023-02-18,4291
Health & Beauty,2023-03-23,2020
Pet Supplies,2023-06-02,1841
Jewelry,2023-11-27,1587
Music,2023-12-04,3532
Video Games,2023-04-19,455
Garden & Outdoor,2023-07-12,3875
Industrial & Scientific,2023-04-21,3855
Travel,2023-11-26,4166
Furniture,2023-03-09,4403
Travel,2023-05-03,1244
Beauty & Personal Care,2023-10-17,2528
Jewelry,2023-05-19,4432
Video Games,2023-01-05,1469
Travel,2023-06-15,2632
Food & Beverage,2023-06-21,87
Video Games,2023-07-16,4772
Books,2023-06-21,3197
Garden & Outdoor,2023-11-17,758
Industrial & Scientific,2023-07-03,4488
Electronics,2023-04-20,1951
Pet Supplies,2023-09-26,2987
Sports,2023-06-11,2111
Industrial & Scientific,2023-11-20,2412
Home & Garden,2023-08-06,2440
Automotive,2023-03-25,3600
Tools & Hardware,2023-03-03,2293
Movies & TV,2023-12-01,487
Industrial & Scientific,2023-06-06,4284
Cell Phones,2023-06-02,62
Office Supplies,2023-10-25,4167
Music,2023-09-21,4643
Musical Instruments,2023-09-15,741
Pharmacy,2023-03-07,3607
Watches,2023-01-27,759
Luggage,2023-12-18,251
Garden & Outdoor,2023-06-17,3289
Garden & Outdoor,2023-06-28,2826
Toys,2023-06-04,4767
Sports,2023-05-22,495
Toys,2023-11-21,4910
Health & Beauty,2023-08-14,4611
Beauty & Personal Care,2023-09-17,2129
Watches,2023-05-29,1065
Toys,2023-05-09,864
Books,2023-02-03,393
Movies & TV,2023-07-29,365
Food & Beverage,2023-10-23,3405
Travel,2023-08-11,434
Garden & Outdoor,2023-03-05,2000
Art & Crafts,2023-07-07,2374
Shoes,2023-06-29,839
Music,2023-02-27,4030
Clothing,2023-12-28,4010
Electronics,2023-10-05,2866
Music,2023-02-02,3819
Clothing,2023-05-16,419
Luggage,2023-03-29,2306
Movies & TV,2023-08-09,2803
Clothing,2023-11-21,2125
Electronics,2023-04-10,3206
Jewelry,2023-04-20,158
Pet Supplies,2023-02-27,3198
Health & Beauty,2023-05-07,3239
Clothing,2023-09-04,2317
Furniture,2023-06-03,4702
Pet Supplies,2023-12-06,2052
Appliances,2023-05-19,4072
Baby & Kids,2023-09-13,718
Automotive,2023-10-25,1437
Baby & Kids,2023-02-06,2155
Automotive,2023-01-14,3909
Video Games,2023-08-25,608
Pharmacy,2023-09-07,334
Musical Instruments,2023-10-03,972
Books,2023-10-09,182
Pet Supplies,2023-08-11,3659
Shoes,2023-04-15,758
Shoes,2023-03-10,98
Pharmacy,2023-10-03,362
Shoes,2023-11-01,590
Tools & Hardware,2023-08-03,999
Office Supplies,2023-05-26,1896
Cell Phones,2023-12-11,1601
Baby & Kids,2023-10-26,3267
Tools & Hardware,2023-01-08,3788
Electronics,2023-08-19,3328
Clothing,2023-01-31,2022
Software,2023-12-26,4841
Industrial & Scientific,2023-02-17,2234
Video Games,2023-01-28,752
Pet Supplies,2023-06-05,96
Tools & Hardware,2023-05-06,1285
Art & Crafts,2023-01-10,3511
Travel,2023-03-16,105
Beauty & Personal Care,2023-10-23,1241
Furniture,2023-09-11,1706
Jewelry,2023-08-27,2766
Video Games,2023-12-26,2968
Travel,2023-09-14,3353
Toys,2023-09-15,2746
Shoes,2023-12-24,1289
Music,2023-01-26,3853
Watches,2023-01-19,2423
Appliances,2023-06-24,2661
Luggage,2023-08-22,1583
Toys,2023-01-08,3635
Luggage,2023-10-05,2113
Health & Beauty,2023-01-01,668
Home & Garden,2023-07-22,2587
Pharmacy,2023-10-18,2257
Pet Supplies,2023-07-30,4554
Jewelry,2023-09-23,4565
Travel,2023-05-27,1232
Watches,2023-10-03,2415
Sports,2023-09-08,66
Movies & TV,2023-04-14,1252
Sports,2023-03-09,2213
Food & Beverage,2023-11-28,4786
Baby & Kids,2023-12-22,3531
Home & Garden,2023-08-23,1223
Video Games,2023-05-13,747
Health & Beauty,2023-08-23,4116
Sports,2023-02-24,699
Pharmacy,2023-07-09,1521
Office Supplies,2023-12-23,2548
Art & Crafts,2023-11-22,1301
Furniture,2023-06-21,863
Health & Beauty,2023-11-20,3816
Health & Beauty,2023-04-12,207
Music,2023-06-04,3844
Computer & Tablets,2023-03-11,815
Tools & Hardware,2023-12-23,2268
Tools & Hardware,2023-07-03,4455
Software,2023-07-06,1095
Toys,2023-12-23,2790
Home & Garden,2023-02-22,4894
Software,2023-04-15,2021
Jewelry,2023-07-22,1546
Jewelry,2023-03-13,1886
Music,2023-08-07,3662
Pet Supplies,2023-11-04,4847
Clothing,2023-09-06,3361
Sports,2023-08-21,105
Garden & Outdoor,2023-01-10,3970
Cell Phones,2023-10-19,1002
Travel,2023-06-29,975
Health & Beauty,2023-05-30,3240
Automotive,2023-01-31,3476
Tools & Hardware,2023-05-10,2459
Office Supplies,2023-04-11,3789
Home & Garden,2023-01-18,1906
Luggage,2023-06-26,2104
Pet Supplies,2023-03-06,3062
Cell Phones,2023-02-27,300
Beauty & Personal Care,2023-10-07,3788
Movies & TV,2023-02-28,3290
Toys,2023-10-22,371
Watches,2023-01-21,3462
Travel,2023-12-09,3099
Pet Supplies,2023-05-03,1182
Musical Instruments,2023-01-12,2981
Garden & Outdoor,2023-07-20,4439
Pharmacy,2023-02-17,54
Home & Garden,2023-09-30,263
Musical Instruments,2023-04-12,4226
Musical Instruments,2023-11-06,1140
Sports,2023-10-30,1607
Musical Instruments,2023-01-21,4587
Tools & Hardware,2023-11-10,2976
Beauty & Personal Care,2023-04-17,4014
Home & Garden,2023-07-25,1851
Toys,2023-07-25,3333
Pet Supplies,2023-07-20,75
Movies & TV,2023-10-26,1763
Furniture,2023-05-10,696
Beauty & Personal Care,2023-10-05,3854
Travel,2023-10-14,1674
Automotive,2023-09-02,3530
Electronics,2023-07-08,3816
Office Supplies,2023-04-09,484
Travel,2023-06-06,1369
Garden & Outdoor,2023-08-16,3508
Baby & Kids,2023-11-03,2730
Computer & Tablets,2023-06-27,4949
Appliances,2023-03-19,4181
Art & Crafts,2023-09-01,166
Electronics,2023-12-05,2579
Food & Beverage,2023-10-03,2412
Luggage,2023-09-22,3166
Movies & TV,2023-09-19,3804
Home & Garden,2023-08-11,398
Tools & Hardware,2023-09-23,847
Food & Beverage,2023-07-03,1575
Electronics,2023-07-20,1376
Baby & Kids,2023-03-09,2758
Office Supplies,2023-11-03,4661
Art & Crafts,2023-12-29,1186
Furniture,2023-03-14,4818
Sports,2023-12-28,3168
Musical Instruments,2023-12-07,541
Video Games,2023-04-03,2130
Software,2023-05-02,4725
Shoes,2023-11-08,486
Cell Phones,2023-11-03,2311
Jewelry,2023-12-03,3079
Industrial & Scientific,2023-03-17,3850
Pet Supplies,2023-11-14,462
Musical Instruments,2023-06-02,92
Appliances,2023-09-23,4541
Electronics,2023-09-06,2119
Video Games,2023-01-31,4011
Automotive,2023-08-23,1109
Health & Beauty,2023-03-22,2367
Books,2023-01-08,1963
Musical Instruments,2023-05-09,2187
Furniture,2023-04-21,2829
Watches,2023-05-15,3173
Luggage,2023-12-03,1423
Industrial & Scientific,2023-05-01,3960
Appliances,2023-09-13,1969
Baby & Kids,2023-06-06,4377
Movies & TV,2023-04-09,2060
Clothing,2023-07-17,592
Computer & Tablets,2023-06-22,2726
Shoes,2023-06-23,2433
Pharmacy,2023-05-16,2641
Video Games,2023-05-22,4268
Tools & Hardware,2023-09-30,448
Tools & Hardware,2023-11-20,1823
Sports,2023-12-02,3185
Office Supplies,2023-05-08,4043
Office Supplies,2023-05-24,2864
Books,2023-03-20,3089
Shoes,2023-09-20,1043
Cell Phones,2023-02-19,3043
Appliances,2023-01-14,1489
Pharmacy,2023-07-19,3420
Software,2023-06-20,941
Video Games,2023-05-10,4940
Automotive,2023-09-02,545
Baby & Kids,2023-02-20,3087
Office Supplies,2023-09-15,851
Movies & TV,2023-10-06,3806
Software,2023-09-07,3929
Pharmacy,2023-11-18,3158
Garden & Outdoor,2023-08-27,546
Musical Instruments,2023-03-29,4278
Pharmacy,2023-05-26,102
Shoes,2023-01-18,1683
Clothing,2023-07-05,3494
Baby & Kids,2023-02-14,2697
Toys,2023-05-10,2628
Luggage,2023-03-11,1048
Luggage,2023-08-19,1754
Industrial & Scientific,2023-12-06,2765
Electronics,2023-07-24,3830
Musical Instruments,2023-09-13,4784
Luggage,2023-09-19,4387
Pet Supplies,2023-07-22,4507
Software,2023-01-26,1395
Garden & Outdoor,2023-04-08,1405
Computer & Tablets,2023-01-19,3415
Travel,2023-12-26,1691
Shoes,2023-10-26,4393
Cell Phones,2023-11-13,980
Travel,2023-08-20,520
Automotive,2023-10-23,4729
Movies & TV,2023-04-13,2967
Automotive,2023-02-07,4884
Books,2023-09-22,4307
Luggage,2023-05-14,4817
Pet Supplies,2023-10-17,486
Clothing,2023-11-21,944
Movies & TV,2023-01-22,3604
Beauty & Personal Care,2023-03-28,2494
Clothing,2023-12-21,3951
Pet Supplies,2023-05-23,1038
Toys,2023-07-27,2048
Clothing,2023-06-24,2627
Toys,2023-07-23,2057
Books,2023-07-06,347
Luggage,2023-04-16,4916
Tools & Hardware,2023-01-31,196
Jewelry,2023-03-18,1826
Watches,2023-03-29,3122
Movies & TV,2023-10-20,4845
Sports,2023-08-23,3212
Food & Beverage,2023-12-07,4233
Health & Beauty,2023-10-27,3662
Movies & TV,2023-08-26,2214
Baby & Kids,2023-08-01,2107
Beauty & Personal Care,2023-11-20,3245
Shoes,2023-06-17,1619
Garden & Outdoor,2023-05-19,3206
Garden & Outdoor,2023-04-06,2819
Automotive,2023-08-15,4475
Garden & Outdoor,2023-01-23,3863
Books,2023-11-27,3902
Industrial & Scientific,2023-09-28,2080
Movies & TV,2023-02-19,4433
Travel,2023-06-03,3692
Home & Garden,2023-01-13,1726
Musical Instruments,2023-07-14,1131
Jewelry,2023-12-04,56
Jewelry,2023-06-05,2622
Furniture,2023-11-15,3573
Home & Garden,2023-03-31,72
Software,2023-08-11,1094
Office Supplies,2023-04-02,3453
Food & Beverage,2023-09-07,3833
Office Supplies,2023-05-25,538
Travel,2023-03-07,4275
Luggage,2023-09-26,3482
Video Games,2023-07-30,3468
Video Games,2023-11-03,4308
Beauty & Personal Care,2023-12-15,2464
Food & Beverage,2023-11-26,2171
Movies & TV,2023-02-27,1453
Books,2023-12-18,3051
Movies & TV,2023-05-26,2146
Travel,2023-10-09,3166
Tools & Hardware,2023-01-01,927
Garden & Outdoor,2023-08-01,4605
Tools & Hardware,2023-08-26,1324
Video Games,2023-01-08,959
Video Games,2023-07-28,4345
Food & Beverage,2023-05-04,523
Movies & TV,2023-08-17,3055
Home & Garden,2023-01-08,1315
Electronics,2023-03-14,2013
Movies & TV,2023-08-17,1208
Music,2023-06-24,4836
Appliances,2023-10-18,308
Clothing,2023-08-20,3417
Pharmacy,2023-03-20,3345
Books,2023-01-08,2402
Appliances,2023-07-13,3875
Industrial & Scientific,2023-12-27,3097
Computer & Tablets,2023-02-03,1467
Industrial & Scientific,2023-11-30,2871
Books,2023-11-11,2735
Baby & Kids,2023-10-28,1741
Toys,2023-02-21,3792
Food & Beverage,2023-10-11,4655
Luggage,2023-08-22,943
Electronics,2023-11-07,1139
Clothing,2023-02-09,3442
Office Supplies,2023-08-20,346
Shoes,2023-05-18,108
Software,2023-07-01,634
Sports,2023-01-14,3385
Beauty & Personal Care,2023-09-06,4165
Beauty & Personal Care,2023-01-16,799
Home & Garden,2023-10-28,616
Luggage,2023-08-18,1119
Baby & Kids,2023-02-15,1456
Jewelry,2023-12-17,3691
Furniture,2023-04-11,597
Food & Beverage,2023-07-25,2305
Tools & Hardware,2023-08-06,2924
Appliances,2023-09-27,1917
Music,2023-06-14,2396
Home & Garden,2023-04-06,4917
Appliances,2023-10-09,3857
Home & Garden,2023-08-25,3206
Clothing,2023-11-25,636
Food & Beverage,2023-07-18,2002
Software,2023-06-27,1106
Pharmacy,2023-10-02,3128
Jewelry,2023-09-02,696
Watches,2023-06-07,4793
Pet Supplies,2023-10-22,204
Furniture,2023-08-12,1618
Pet Supplies,2023-12-14,3365
Art & Crafts,2023-11-23,4538
Beauty & Personal Care,2023-05-24,1979
Garden & Outdoor,2023-07-17,2183
Garden & Outdoor,2023-03-24,4159
Video Games,2023-09-28,1498
Art & Crafts,2023-11-07,931
Travel,2023-06-17,2045
Office Supplies,2023-04-16,659
Musical Instruments,2023-05-11,4365
Beauty & Personal Care,2023-09-12,4491
Travel,2023-10-09,342
Travel,2023-06-30,1505
Art & Crafts,2023-07-02,3311
Watches,2023-07-31,313
Furniture,2023-11-18,1350
Software,2023-02-11,2887
Sports,2023-04-26,3744
Software,2023-08-06,3056
Tools & Hardware,2023-12-31,216
Movies & TV,2023-08-21,4944
Industrial & Scientific,2023-04-12,3066
Tools & Hardware,2023-05-08,1132
Art & Crafts,2023-08-16,2515
Musical Instruments,2023-06-10,854
Beauty & Personal Care,2023-01-25,2947
Pharmacy,2023-09-07,449
Office Supplies,2023-07-09,3677
Software,2023-11-09,384
Shoes,2023-11-12,3789
Shoes,2023-12-18,3303
Sports,2023-01-06,2530
Health & Beauty,2023-02-25,4537
Cell Phones,2023-01-01,516
Appliances,2023-01-08,4493
Food & Beverage,2023-08-06,2825
Food & Beverage,2023-04-09,2761
Jewelry,2023-06-24,3136
Luggage,2023-11-30,2848
Beauty & Personal Care,2023-11-17,4523
Furniture,2023-09-30,4519
Software,2023-07-13,3497
Video Games,2023-04-28,277
Music,2023-04-05,3307
Industrial & Scientific,2023-02-09,1445
Beauty & Personal Care,2023-04-23,1387
Automotive,2023-05-15,4184
Shoes,2023-01-04,4283
Industrial & Scientific,2023-11-22,199
Musical Instruments,2023-08-17,4578
Books,2023-10-04,74
Musical Instruments,2023-08-26,2892
Video Games,2023-08-17,2111
Pharmacy,2023-01-13,1356
Art & Crafts,2023-08-16,2927
Beauty & Personal Care,2023-06-06,2438
Electronics,2023-08-03,3204
Jewelry,2023-06-18,2228
Appliances,2023-10-31,3234
Video Games,2023-08-22,2695
Cell Phones,2023-10-26,2460
Video Games,2023-09-29,579
Watches,2023-11-27,4324
Appliances,2023-12-29,4956
Video Games,2023-06-04,117
Art & Crafts,2023-05-07,3511
Sports,2023-06-29,551
Pharmacy,2023-08-14,396
Office Supplies,2023-03-09,2638
Travel,2023-02-04,733
Health & Beauty,2023-11-04,501
Tools & Hardware,2023-11-18,4600
Baby & Kids,2023-06-02,629
Garden & Outdoor,2023-03-19,3466
Home & Garden,2023-04-16,528
Electronics,2023-03-12,3248
Electronics,2023-04-11,2415
Office Supplies,2023-02-18,1381
Health & Beauty,2023-02-21,2212
Pet Supplies,2023-03-24,2811
Beauty & Personal Care,2023-05-11,1967
Books,2023-10-16,2897
Office Supplies,2023-10-25,3103
Computer & Tablets,2023-11-08,3097
Musical Instruments,2023-10-06,3677
Health & Beauty,2023-10-27,128
Luggage,2023-02-20,2067
Garden & Outdoor,2023-12-29,2076
Pharmacy,2023-08-21,2490
Luggage,2023-07-09,3897
Video Games,2023-11-05,3416
Pharmacy,2023-09-23,3052
Toys,2023-05-02,884
Toys,2023-03-09,2786
Health & Beauty,2023-06-05,716
Toys,2023-04-15,2167
Food & Beverage,2023-12-13,2357
Home & Garden,2023-04-09,580
Tools & Hardware,2023-09-12,3483
Beauty & Personal Care,2023-09-26,1269
Automotive,2023-06-17,793
Art & Crafts,2023-07-09,3372
Clothing,2023-12-08,795
Pharmacy,2023-11-28,861
Watches,2023-12-14,4498
Pharmacy,2023-06-10,3555
Watches,2023-05-12,4586
Cell Phones,2023-11-04,3677
Beauty & Personal Care,2023-11-10,3422
Video Games,2023-03-19,3376
Baby & Kids,2023-09-12,2521
Furniture,2023-06-27,3500
Computer & Tablets,2023-06-03,4555
Travel,2023-08-02,2384
Appliances,2023-07-03,3753
Automotive,2023-10-17,2328
Tools & Hardware,2023-06-30,2095
Office Supplies,2023-09-28,279
Watches,2023-10-03,2315
Pet Supplies,2023-12-17,4125
Furniture,2023-09-13,3229
Industrial & Scientific,2023-11-17,385
Watches,2023-09-04,209
Baby & Kids,2023-09-18,3495
Books,2023-01-26,2164
Sports,2023-11-19,4112
Appliances,2023-07-01,337
Luggage,2023-02-20,4848
Luggage,2023-12-20,3874
Music,2023-05-14,2867
Software,2023-05-01,4109
Sports,2023-01-26,1460
Watches,2023-04-17,2183
Automotive,2023-06-27,3080
Watches,2023-03-06,567
Music,2023-05-22,4183
Travel,2023-08-14,4910
Toys,2023-02-05,66
Cell Phones,2023-02-14,1405
Health & Beauty,2023-10-02,165
Office Supplies,2023-08-07,1966
Jewelry,2023-06-19,2437
Automotive,2023-03-03,750
Musical Instruments,2023-05-31,519
Movies & TV,2023-11-27,2323
Furniture,2023-01-05,572
Video Games,2023-02-01,1273
Clothing,2023-07-14,1069
Musical Instruments,2023-10-21,1305
Art & Crafts,2023-02-03,702
Toys,2023-07-25,3788
Shoes,2023-11-04,538
Movies & TV,2023-08-31,4465
Garden & Outdoor,2023-04-02,1642
Tools & Hardware,2023-03-18,4461
Electronics,2023-05-15,3541
Tools & Hardware,2023-08-31,3666
Luggage,2023-01-09,4499
Office Supplies,2023-10-19,877
Books,2023-12-14,2976
Shoes,2023-02-08,386
Musical Instruments,2023-04-25,2214
Pharmacy,2023-01-07,4011
Automotive,2023-02-02,3094
Garden & Outdoor,2023-09-14,4956
Garden & Outdoor,2023-06-13,1056
Software,2023-06-09,1560
Health & Beauty,2023-12-23,3910
Shoes,2023-07-23,1856
Appliances,2023-02-12,2580
Home & Garden,2023-07-09,828
Furniture,2023-03-13,4606
Electronics,2023-05-18,1504
Clothing,2023-11-04,2047
Pharmacy,2023-02-21,1529
Art & Crafts,2023-10-11,346
Clothing,2023-12-18,2825
Food & Beverage,2023-01-07,4548
Cell Phones,2023-06-13,3048
Office Supplies,2023-11-15,2231
Watches,2023-11-29,3581
Industrial & Scientific,2023-05-09,1863
Appliances,2023-06-14,1032
Office Supplies,2023-08-11,3991
Cell Phones,2023-08-19,3804
Shoes,2023-03-31,875
Sports,2023-11-12,4593
Software,2023-01-04,1744
Tools & Hardware,2023-01-12,3374
Furniture,2023-08-28,1938
Music,2023-10-27,906
Pharmacy,2023-05-10,1883
Computer & Tablets,2023-01-18,2901
Pet Supplies,2023-01-23,3365
Music,2023-10-27,1675
Video Games,2023-04-24,2499
Books,2023-05-20,4844
Garden & Outdoor,2023-09-19,821
Beauty & Personal Care,2023-01-04,90
Clothing,2023-11-07,4608
Video Games,2023-08-17,2323
Sports,2023-03-02,4673
Music,2023-03-03,2420
Music,2023-01-05,2651
Pharmacy,2023-03-17,905
Electronics,2023-11-27,2458
Software,2023-01-10,3953
Software,2023-02-27,1169
Jewelry,2023-09-17,258
Industrial & Scientific,2023-04-02,4825
Watches,2023-02-05,862
Furniture,2023-03-24,1820
Luggage,2023-11-28,4891
Music,2023-11-11,3687
Garden & Outdoor,2023-08-22,4614
Clothing,2023-02-13,2588
Home & Garden,2023-11-03,3295
Movies & TV,2023-08-12,148
Toys,2023-06-28,4059
Software,2023-02-16,4374
Appliances,2023-01-20,2074
Art & Crafts,2023-08-23,4486
Watches,2023-03-15,2795
Luggage,2023-08-29,2890
Travel,2023-02-14,1672
Toys,2023-11-10,755
Cell Phones,2023-04-01,796
Music,2023-03-11,2899
Toys,2023-10-07,2552
Sports,2023-04-09,4293
Tools & Hardware,2023-09-17,282
Furniture,2023-12-09,2079
Jewelry,2023-10-05,4181
Shoes,2023-04-24,3852
Watches,2023-08-28,3402
Travel,2023-05-09,1548
Music,2023-08-23,1585
Home & Garden,2023-11-07,2247
Furniture,2023-01-06,865
Health & Beauty,2023-07-05,945
Pet Supplies,2023-01-03,4897
Home & Garden,2023-03-17,3815
Furniture,2023-07-08,622
Home & Garden,2023-09-19,1313
Industrial & Scientific,2023-04-29,3474
Travel,2023-04-05,4830
Watches,2023-11-24,4324
Cell Phones,2023-12-03,3069
Food & Beverage,2023-08-19,3045
Toys,2023-02-10,1193
Office Supplies,2023-09-25,3833
Software,2023-01-08,3149
Video Games,2023-01-29,4984
Sports,2023-05-25,2155
Shoes,2023-06-16,3714
Software,2023-08-20,1186
Software,2023-01-05,4666
Food & Beverage,2023-01-16,1848
Baby & Kids,2023-02-24,3005
Musical Instruments,2023-03-02,3857
Garden & Outdoor,2023-04-15,1918
Beauty & Personal Care,2023-11-21,2995
Sports,2023-03-20,2989
Pharmacy,2023-09-01,3170
Toys,2023-12-05,3609
Shoes,2023-06-06,4051
Beauty & Personal Care,2023-06-27,1063
Luggage,2023-02-19,1355
Home & Garden,2023-09-09,1104
Sports,2023-12-01,432
Movies & TV,2023-09-29,3584
Garden & Outdoor,2023-10-05,4539
Office Supplies,2023-10-03,1413
Health & Beauty,2023-03-30,678
Health & Beauty,2023-03-09,1632
Health & Beauty,2023-07-11,840
Health & Beauty,2023-12-20,2076
Pet Supplies,2023-06-21,2744
Video Games,2023-05-26,3190
Pet Supplies,2023-09-14,4572
Jewelry,2023-10-09,2781
Furniture,2023-07-07,380
Health & Beauty,2023-07-15,932
Musical Instruments,2023-02-13,3190
Shoes,2023-12-20,1177
Computer & Tablets,2023-11-19,3904
Shoes,2023-02-23,4639
Music,2023-10-24,4027
Appliances,2023-11-13,4152
Office Supplies,2023-06-17,2197
Garden & Outdoor,2023-05-17,2399
Travel,2023-04-26,2526
Office Supplies,2023-06-06,945
Automotive,2023-02-13,2698
Software,2023-11-26,2829
Jewelry,2023-11-17,3438
Garden & Outdoor,2023-03-04,3653
Cell Phones,2023-09-18,1395
Computer & Tablets,2023-08-12,2509
Tools & Hardware,2023-05-30,3779
Music,2023-10-31,2879
Books,2023-10-18,2867
Pet Supplies,2023-10-13,3734
Movies & TV,2023-07-05,652
Garden & Outdoor,2023-12-26,1575
Pet Supplies,2023-10-14,2305
Musical Instruments,2023-07-29,3737
Appliances,2023-01-09,2418
Electronics,2023-12-15,1916
Luggage,2023-10-24,1403
Video Games,2023-02-16,4132
Pharmacy,2023-04-18,314
Musical Instruments,2023-03-22,88
Musical Instruments,2023-09-08,899
Art & Crafts,2023-11-16,733
Shoes,2023-11-06,4401
Watches,2023-10-18,430
Books,2023-07-25,2090
Electronics,2023-07-09,671
Books,2023-02-14,1636
Art & Crafts,2023-03-10,3988
Pet Supplies,2023-12-11,4226
Cell Phones,2023-11-09,119
Music,2023-04-26,3729
Automotive,2023-05-13,378
Computer & Tablets,2023-12-13,649
Travel,2023-08-15,3262
Beauty & Personal Care,2023-12-09,3611
Home & Garden,2023-07-31,1001
Beauty & Personal Care,2023-12-14,2683
Art & Crafts,2023-11-01,2171
Music,2023-09-12,3735
Home & Garden,2023-09-01,3943
Home & Garden,2023-10-18,284
Shoes,2023-09-10,2729
Industrial & Scientific,2023-08-22,3812
Sports,2023-05-22,369
Software,2023-03-12,640
Travel,2023-11-11,528
Clothing,2023-05-16,2414
Jewelry,2023-11-01,4138
Industrial & Scientific,2023-01-13,4238
Pharmacy,2023-09-24,2554
Garden & Outdoor,2023-10-20,3319
Movies & TV,2023-12-23,732
Baby & Kids,2023-08-18,1404
Appliances,2023-10-08,4654
Pet Supplies,2023-12-25,2046
Clothing,2023-03-05,4884
Health & Beauty,2023-06-09,4794
Musical Instruments,2023-08-04,1910
Tools & Hardware,2023-10-01,2053
Pharmacy,2023-10-24,3655
Clothing,2023-01-06,3185
Video Games,2023-10-02,3587
Books,2023-04-28,2624
Movies & TV,2023-03-28,2413
Jewelry,2023-04-21,1345
Toys,2023-02-03,3388
Beauty & Personal Care,2023-08-21,3040
Garden & Outdoor,2023-01-29,2974
Shoes,2023-01-08,4720
Musical Instruments,2023-04-13,2770
Musical Instruments,2023-08-20,3522
Jewelry,2023-06-21,2716
Luggage,2023-01-16,1160
Software,2023-10-04,4439
Software,2023-03-08,2768
Electronics,2023-03-17,3227
Garden & Outdoor,2023-12-27,3868
Garden & Outdoor,2023-02-11,2986
Pet Supplies,2023-12-22,2755
Music,2023-03-27,1413
Books,2023-03-09,1680
Automotive,2023-03-21,863
Food & Beverage,2023-12-22,302
Books,2023-04-27,1633
Art & Crafts,2023-03-29,1132
Musical Instruments,2023-04-07,1719
Jewelry,2023-09-11,2877
Movies & TV,2023-05-02,1820
Tools & Hardware,2023-08-07,3269
Luggage,2023-03-22,609
Food & Beverage,2023-02-28,2423
Travel,2023-12-30,2723
Beauty & Personal Care,2023-10-19,1539
Furniture,2023-11-10,1719
Garden & Outdoor,2023-05-03,3097
